SP;NCOL;LT;DI;PLM ;FTLM;FTWM;FTLM/FTWM;STLM;STWM;STLM/STWM;LLM;MLWM;LLM/MLWM;WMPM;LLM/WMPM;DBMWM;LLM/DBMWM ;DLAUM;TLWM;DLAUM/TLWM;LLM/DLAUM;NTM;LFSDM;LSSDM;PLS;FTLS;FTWS;FTLS/FTWS;STLS;STWS;STLS/STWS;LLS;MLWS;LLS/MLWS;WMPS;LLS/WMPS;DLBMWS;LLS/DLBMWS;DLAUS;TLWS;DLAUS/TLWS;LLS/DLAUS;NTS;LFSDS;LSSDS
V.aragonensis;BCF41230;0;0;158;43;89;48;0;0;0;638;420;152;329;194;486;131;148;279;53;431;100;0;0;85;28;81;35;0;0;0;582;299;195;288;202;312;187;159;254;63;366;100;0;0
V.aragonensis;GDA18086;0;0;293;53;86;62;42;84;50;1189;604;197;567;210;646;184;269;408;66;442;233;0;0;149;101;87;116;20;55;36;709;379;187;341;208;448;158;184;209;88;385;150;0;0
V.aragonensis;JACA256379;0;0;204;68;88;77;45;117;38;1085;622;174;582;186;607;179;259;354;73;419;233;0;0;165;38;75;51;12;18;67;845;391;216;379;223;503;168;232;272;85;364;200;0;0
V.aragonensis;JACA349179;53;3433;172;44;45;98;48;67;72;816;520;157;498;164;475;172;146;291;50;559;267;0;0;122;19;33;58;10;23;43;752;314;239;289;260;333;226;254;256;99;296;167;0;0
V.aragonensis;JACA473871;16;667;236;85;117;73;74;99;75;1005;564;178;515;195;492;204;234;359;65;429;200;0;0;155;71;98;72;34;87;39;846;346;245;334;253;515;164;237;249;95;357;267;0;0
V.aragonensis;JACA52774;0;0;206;39;101;39;41;84;49;1024;519;197;452;227;664;154;183;314;58;560;200;0;0;156;51;65;78;57;52;110;992;399;249;387;256;433;229;396;343;115;251;167;0;0
V.aragonensis;JACA665787;0;0;132;38;93;41;34;89;38;1273;567;225;525;242;662;192;248;345;72;513;250;0;0;151;45;85;53;50;115;43;946;452;209;409;231;474;200;240;274;88;394;200;0;0
V.austriaca-den;B147196-23;29;7433;138;104;96;108;173;103;168;3927;779;504;673;584;1406;279;447;319;140;879;1000;0;0;0;95;44;216;123;88;140;4011;388;1034;323;1242;1902;211;1566;254;617;256;466;0;0
V.austriaca-den;B147196-138;33;4500;44;72;97;74;86;99;87;3240;1018;318;868;373;1280;253;499;363;137;649;900;0;0;0;37;57;65;45;89;51;3512;541;649;498;705;1478;238;2015;493;409;174;200;0;0
V.austriaca-den;B147196-6;25;4200;0;49;56;88;85;67;127;2637;849;311;726;363;723;365;368;270;136;717;667;0;0;0;57;57;100;0;0;0;2427;339;716;243;999;529;459;2795;304;919;87;33;0;0
V.austriaca-den;BM67715;30;3300;0;60;60;100;111;98;113;3261;778;419;584;558;1079;302;309;192;161;1055;800;0;0;0;36;43;84;33;42;79;3000;327;917;322;932;1348;223;689;284;243;435;267;0;0
V.austriaca-den;BM68162;28;3633;27;52;133;39;71;102;70;4193;481;871;361;1161;1528;274;663;180;368;632;1233;0;0;0;40;49;82;35;41;85;3640;253;1439;222;1640;2141;170;901;170;530;404;233;0;0
V.austriaca-den;BM68170;33;6100;71;98;103;95;56;94;60;3580;868;412;764;469;1140;314;838;432;194;427;767;0;0;0;10;15;67;0;0;0;2681;316;848;304;882;1368;196;1279;335;382;210;33;0;0
V.austriaca-den;BM68180;37;7733;46;76;138;55;111;137;81;2993;682;439;463;646;717;417;439;268;164;682;700;0;0;0;10;23;43;0;0;0;2333;159;1467;142;1543;1150;203;1952;236;827;120;33;0;0
V.austriaca-den;BM68606;45;6533;0;64;78;82;101;117;86;2813;485;580;413;681;1524;185;354;204;174;795;1000;0;0;0;0;0;0;0;0;0;2705;190;1424;172;1573;1547;175;0;0;0;0;0;0;0
V.austriaca-den;MA112519;38;5000;0;87;79;110;60;84;71;2732;720;379;672;407;1224;223;210;240;88;1301;900;0;0;0;7;12;58;11;14;79;2220;251;884;213;1042;1349;165;319;204;156;696;133;0;0
V.austriaca-den;MA112520;29;8267;0;34;72;47;53;90;59;2705;506;535;413;655;1325;204;266;227;117;1017;1067;0;0;0;16;29;55;22;33;67;1581;189;837;185;855;868;182;452;172;263;350;333;0;0
V.austriaca-den;SALA124613;27;6000;0;49;51;96;74;87;85;2319;782;297;681;341;660;351;291;328;89;797;800;0;0;0;48;24;200;0;0;0;2047;262;781;205;999;1172;175;536;258;208;382;50;0;0
V.austriaca-den;SALA124612;38;6233;20;53;113;47;86;114;75;3724;950;392;907;411;1678;222;591;611;97;630;733;0;0;0;37;56;66;33;61;54;4785;445;1075;416;1150;2889;166;1270;423;300;377;200;0;0
V.austriaca-aus;SALA153002;40;8100;0;247;84;295;305;129;237;2477;991;250;634;390;746;332;399;204;196;620;600;0;0;0;113;64;177;43;62;69;2340;398;589;287;815;682;343;344;209;165;680;367;0;0
