SPECIES;ACCESION.NUMBER;PLM ;PLS;FTWM;FTWS;STWM;STWS;LLM;LLS;FTLM;FTLS;STLM;STLS;MLWM;MLWS;WMPM;WMPS;DLBMWM;DLBMWS;DLAUM;DLAUS;TLWM;TLWS;NTM;NTS
V.aragonensis;JACA349179(1);1.66;1.28;0.43;0;0.92;0;6.95;5.62;0.31;0;0.75;0;5.07;2.4;4.82;2.18;4.8;3.05;1.43;;3.34;;2;0
V.aragonensis;JACA349179(2);2.33;0.78;0.41;0.5;0.52;0.69;9.03;8.67;0.25;0.33;0.33;0.3;5.57;3.58;5.21;3.36;5.21;3.75;1.52;1.92;2.8;2.03;2;4
V.aragonensis;JACA349179(3);1.17;1.6;0.51;0.48;0.56;0;8.51;8.27;0.75;0.23;0.36;0;4.95;3.44;4.9;3.12;4.23;3.2;1.44;3.16;2.58;3.08;4;1
V.aragonensis;JACA349179;172;122;45;33;67;23;816;752;44;19;48;10;520;314;498;289;475;333;146;254;291;256;267;167
V.aragonensis;JACA256379(1);1.63;1.49;1.19;0.87;1.34;0;10.69;5.71;0.62;0.44;0.38;0;5.85;2.8;5.63;2.54;6.81;4.04;3.64;2.23;3.54;2.39;3;1
V.aragonensis;JACA256379(2);2.98;2.57;0.86;0.65;0.9;0.53;10.95;9.64;0.58;0.38;0.32;0.36;5.75;4.92;5.17;4.84;4.33;4.93;2.81;1.56;3.98;2.64;2;4
V.aragonensis;JACA256379(3);1.51;0.9;0.6;0.73;1.27;0;10.91;9.99;0.85;0.33;0.66;0;7.07;4.01;6.67;4.01;7.08;6.12;1.32;3.17;3.11;3.12;2;1
V.aragonensis;JACA256379;204;165;88;75;117;18;1085;845;68;38;45;12;622;391;582;379;607;503;259;232;354;272;233;200
V.aragonensis;JACA473871(1);3.14;2.07;0.83;1.11;1.4;0.87;10.56;8.31;1.09;0.6;1.06;0.36;5.4;3.49;5.06;3.13;3.76;6.65;2.83;2.96;3.74;2.52;2;3
V.aragonensis;JACA473871(2);2.17;1.39;1.42;1.03;0.78;1.04;10.23;11.11;0.95;1.05;0.77;0.44;6.39;4.22;5.61;4.21;6.24;6.13;1.84;2.74;3.65;3.02;2;3
V.aragonensis;JACA473871(3);1.78;1.2;1.27;0.79;0.78;0.7;9.36;5.96;0.5;0.48;0.4;0.23;5.15;2.69;4.8;2.68;4.75;2.67;2.36;1.4;3.37;1.93;2;2
V.aragonensis;JACA473871;236;155;117;98;99;87;1005;846;85;71;74;34;564;346;515;334;492;515;234;237;359;249;200;267
V.aragonensis;JACA665787(1);1.36;1.16;0.87;0.86;0.74;0.84;12.31;8.42;0.35;0.39;0.33;0.31;5.37;4.38;5;3.67;6.55;4.92;2.03;1.86;3.56;2.57;2;2
V.aragonensis;JACA665787(2);1.27;;0.99;;1.03;;13.14;;0.41;;0.34;;5.97;;5.5;;6.69;;2.93;;3.33;;3;
V.aragonensis;JACA665787(3);;1.86;;0.83;;1.45;;10.5;;0.5;;0.68;;4.65;;4.51;;4.56;;2.93;;2.9;;2
V.aragonensis;JACA665787;132;151;93;85;89;115;1273;946;38;45;34;50;567;452;525;409;662;474;248;240;345;274;250;200
V.aragonensis;BCF41230(1);1.7;0.66;0.87;0.9;0;0;7.03;5.12;0.56;0.35;0;0;4.87;3.27;4.28;3.27;5.36;2.43;1.78;1.82;3.49;2.52;1;1
V.aragonensis;BCF41230(2);1.46;;0.91;;0;;5.72;;0.3;;0;;3.52;;2.3;;4.35;;1.18;;2.08;;1;
V.aragonensis;BCF41230(3);;1.04;;0.71;;0;;6.52;;0.2;;0;;2.71;;2.48;;3.8;;1.35;;2.56;;1
V.aragonensis;BCF41230;158;85;89;81;0;0;638;582;43;28;0;0;420;299;329;288;486;312;148;159;279;254;100;100
V.aragonensis;GDA18086(1);1.37;1.05;0.96;0.58;1.04;0;10.1;6.75;0.64;0.29;0.52;0;5.91;2.66;5.77;2.11;4.45;5.12;3.96;1.86;4.89;1.78;2;1
V.aragonensis;GDA18086(2);3.93;1.93;0.96;1.15;0.68;1.09;12.43;7.42;0.6;1.73;0.37;0.39;5.77;4.91;5.18;4.7;7.75;3.83;2.7;1.82;4.07;2.4;2;2
V.aragonensis;GDA18086(3);3.49;;0.66;;0.81;;13.14;;0.34;;0.36;;6.44;;6.06;;7.18;;1.41;;3.27;;3;
V.aragonensis;GDA18086;293;149;86;87;84;55;1189;709;53;101;42;20;604;379;567;341;646;448;269;184;408;209;233;150
V.aragonensis;JACA52774(1);0.8;0.74;1.05;0.51;0.8;0.83;6.95;7.88;0.35;0.28;0.28;0.54;5.24;3.77;4.98;3.77;4.77;4.53;1.1;2.18;2.89;2.91;2;2
V.aragonensis;JACA52774(2);3.32;1.85;0.96;0.74;0.87;0;13.52;12.37;0.42;0.72;0.54;;5.13;4.48;4.05;4.33;8.51;4.84;2.55;5.61;3.39;4.14;2;1
V.aragonensis;JACA52774(3);;2.1;;0.71;;0.72;;9.52;;0.53;;0.59;;3.72;;3.5;;3.61;;4.08;;3.25;;2
V.aragonensis;JACA52774;206;156;101;65;84;52;1024;992;39;51;41;57;519;399;452;387;664;433;183;396;314;343;200;167
V.austriaca austriaca;SALA157058(1);0;0;1.05;1.11;1.65;0.87;33.66;42.03;5.63;1.18;7.14;1.05;19.45;7.6;12.09;6.47;14.02;14.98;3.15;5.54;2.19;3.18;7;7
V.austriaca austriaca;SALA157058(2);0;0;1.01;0;1.46;0;28.33;23.06;6.31;0;3.76;0;11.5;2.18;9.86;1.93;6.88;13.96;1.87;0;1.71;0;7;0
V.austriaca austriaca;SALA157058(3);0;0;0.72;1.54;1.25;0.91;21.93;34.12;2.07;1.66;3.03;0.57;7.24;4.08;6.7;2.93;6.84;26.69;4.81;3.22;1.31;1.66;5;2
V.austriaca austriaca;SALA157058;0;0;93;88;145;59;2797;3307;467;95;464;54;1273;462;955;378;925;1854;328;292;174;161;633;300
V.austriaca austriaca;SALA155836(1);0;0;1.17;0.87;1.03;0;26.14;24.64;6.81;0.84;1.54;0;9.98;3.35;9.98;3.12;13.07;14.47;3.32;5.58;2.32;2.08;5;1
V.austriaca austriaca;SALA155836(2);;0;;0.27;;0.29;;22.88;;0.49;;0.5;;2.68;;2.42;;16.23;;6.5;;1.65;;2
V.austriaca austriaca;SALA155836(3);0;0;1.58;0.85;1.9;1.32;26.63;22.96;7.76;2.87;5.91;2.7;11.46;6.51;6.31;4.93;11.22;7.7;3.06;5.13;2.66;2.75;4;8
V.austriaca austriaca;SALA155836;0;0;138;66;147;54;2639;2349;729;140;373;107;1072;418;815;349;1215;1280;319;574;249;216;450;367
V.austriaca austriaca;SALA153002(1);0;0;1.19;1;1.62;1.35;23.21;34.77;3.61;0.7;2.7;0.97;7.72;6.36;5.02;4.76;4.65;9.28;6.17;6.6;1.72;4.2;4;7
V.austriaca austriaca;SALA153002(2);0;0;0.63;0.92;0.64;0.52;23.85;18.84;2.21;2.69;2.5;0.32;7.41;4.3;5.53;2.73;10.85;4.66;2.38;3.72;2.24;2.06;6;4
V.austriaca austriaca;SALA153002(3);0;0;0.69;0;1.6;0;27.24;16.6;1.58;0;3.94;0;14.61;1.27;8.48;1.12;6.89;6.52;3.43;0;2.16;0;8;0
V.austriaca austriaca;SALA153002;0;0;84;64;129;62;2477;2340;247;113;305;43;991;398;634;287;746;682;399;344;204;209;600;367
V.austriaca austriaca;SALA157057(1);0;0;0.66;0.52;1.35;0.33;26.08;33.63;0.55;0.43;1.89;0.28;11.29;6.34;9.76;5.77;7.89;15.26;2.38;10.09;2.45;4;11;4
V.austriaca austriaca;SALA157057(2);0;0;1.31;0.47;1.71;0.39;22.21;32.08;1.45;0.28;1.91;0.32;11.16;5.77;8.98;5.36;10.61;14.77;3.31;6.13;3.06;3.05;7;11
V.austriaca austriaca;SALA157057(3);0;0;0.72;0.41;1.46;0;25.63;39.7;1.07;0.08;2.9;0;9.59;5.19;7.29;5.17;9.15;20.72;3.11;12.71;3.38;4.3;8;1
V.austriaca austriaca;SALA157057;0;0;90;47;151;24;2464;3514;102;26;223;20;1068;577;868;543;922;1692;293;964;296;378;867;533
V.austriaca austriaca;SALA157051(1);0;0;0.46;0.19;0.58;0.24;24.88;19.55;0.64;0.07;0.67;0.1;4.43;2.17;3.12;1.86;2.63;7.76;2.12;2.64;1.05;1.43;11;7
V.austriaca austriaca;SALA157051(2);0.53;0;1.32;0.46;0.68;0.2;20.97;21.35;0.63;0.11;0.39;0.09;7.95;4.39;7.23;3.68;5.64;11.87;2.4;1.77;1.86;1.74;14;4
V.austriaca austriaca;SALA157051(3);0.77;0;0.34;0.18;0.76;0.26;21.62;20.24;0.44;0.13;1.11;0.1;5.44;3.12;4.54;2.91;4.25;11.29;2.6;3.38;1.24;1.78;10;5
V.austriaca austriaca;SALA157051;43;0;71;28;67;23;2249;2038;57;10;72;10;594;323;496;282;417;1031;237;260;138;165;1167;533
V.austriaca dentata;BM68606(1);0;0;1.02;0;1.13;0;31.42;29.19;0.98;0;1.15;0;4.69;1.42;3.85;1.55;13.28;10.24;3.02;;1.68;;10;0
V.austriaca dentata;BM68606(2);0;0;0.39;0;1.11;0;25.96;30.33;0.42;0;0.46;0;5.73;3.11;5.36;2.52;15;20.45;3.51;;2.22;;10;0
V.austriaca dentata;BM68606(3);0;0;0.94;0;1.27;0;27.01;21.62;0.52;0;1.43;0;4.12;1.16;3.19;1.1;17.45;15.72;4.09;;2.21;;10;0
V.austriaca dentata;BM68606;0;0;78;0;117;0;2813;2705;64;0;101;0;485;190;413;172;1524;1547;354;;204;;1000;0
V.austriaca dentata;MA112519(1);0;0;0.74;0;1.17;0;23.84;21.85;0.6;0;0.6;0;7.96;1.89;7.04;1.84;13.66;13.16;2.34;;2.77;;10;0
V.austriaca dentata;MA112519(2);0;0;0.8;0;1;0;26.64;23.13;0.96;0;0.78;0;7.56;2.25;7.28;1.19;12.04;12.55;1.67;;2.05;;10;0
V.austriaca dentata;MA112519(3);0;0;0.82;0.35;0.35;0.43;31.49;21.63;1.05;0.22;0.43;0.32;6.09;3.4;5.85;3.35;11.02;14.77;2.3;3.19;2.37;2.04;7;4
V.austriaca dentata;MA112519;0;0;79;12;84;14;2732;2220;87;7;60;11;720;251;672;213;1224;1349;210;319;240;204;900;133
